Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Nameko-ke no Ichizoku,6.28,"Comedy, Slice of Life",OVA,13,"Dec 20, 2013 to Jul 16, 2014",Unknown,"Yomiko Advertising, BeeWorks",Unknown,Unknown,Game,5 min. per ep.,G - All Ages,6998,11027,786,2,45,303,27,78
Mikakunin de Shinkoukei,7.44,"Slice of Life, Comedy, Romance, School",TV,12,"Jan 9, 2014 to Mar 27, 2014",Winter 2014,"Sotsu, DAX Production, TOHO animation, RAY, Ichijinsha",Sentai Filmworks,Doga Kobo,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,1777,473,298188,1060,14105,183366,7083,6788
Bayonetta: Bloody Fate,6.63,"Action, Demons, Fantasy, Super Power",Movie,1,23-Nov-13,Unknown,"Toei Animation, Avex Entertainment, Pony Canyon, Sega, Showgate, Q-Tec",Funimation,Gonzo,Game,1 hr. 29 min.,R - 17+ (violence & profanity),5224,2566,39559,69,910,25783,386,438
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,6.82,"Comedy, Ecchi, Fantasy",OVA,1,7-Mar-14,Unknown,Unknown,Sentai Filmworks,Asread,Light novel,25 min.,R+ - Mild Nudity,4380,2576,39258,17,784,29874,331,180
Top wo Nerae 2! Kagaku Kouza,5.42,Sci-Fi,Special,3,22-Jun-12,Unknown,Unknown,Unknown,Gainax,Original,3 min. per ep.,PG-13 - Teens 13 or older,9907,9650,1458,0,46,611,46,74
SoniAni: Super Sonico The Animation,6.1,"Music, Slice of Life",TV,12,"Jan 6, 2014 to Mar 24, 2014",Winter 2014,"Genco, Pony Canyon, Movic, Half H.P Studio, AT-X, Nitroplus, KlockWorx, Showgate, Good Smile Company",Sentai Filmworks,White Fox,Other,23 min. per ep.,PG-13 - Teens 13 or older,7817,1812,70333,170,5098,29240,3775,9945
11eyes Picture Drama,5.51,Comedy,Special,13,25-Jun-10,Unknown,Pony Canyon,Unknown,Doga Kobo,Visual novel,5 min. per ep.,PG-13 - Teens 13 or older,9637,6771,4456,6,116,2364,171,230
Nekketsu Tantei Jimusho,5.38,"Comedy, Mystery, Parody",ONA,5,"Sep 16, 2013 to Oct 15, 2013",Unknown,CoMix Wave Films,Unknown,Unknown,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,9975,12653,406,1,16,221,15,45
Haikyuu!!,8.53,"Comedy, Sports, Drama, School, Shounen",TV,25,"Apr 6, 2014 to Sep 21, 2014",Spring 2014,"Mainichi Broadcasting System, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,91,50,1185274,54887,83029,896822,31311,21054
Ashinaga Ojisan,5.71,"Comedy, Drama, Shoujo",Special,1,10-Oct-79,Unknown,Fuji TV,Unknown,Tatsunoko Production,Unknown,1 hr.,G - All Ages,9119,11460,659,1,31,309,17,48
Bikyaku Seido Kaichou Ai,6.52,Hentai,OVA,1,28-Mar-14,Unknown,"Lune Pictures, Milkshake",Unknown,Unknown,Visual novel,30 min.,Rx - Hentai,,6589,4797,76,658,2518,267,189
Kyoufu no Kyou-chan,6.51,"Comedy, Parody",TV,7,"Nov 13, 1994 to Mar 5, 1995",Fall 1994,Fuji TV,Unknown,Unknown,Unknown,3 min. per ep.,R - 17+ (violence & profanity),15257,14852,203,1,13,79,5,39
Viva Namida,6.68,Music,Music,1,22-Sep-13,Unknown,Unknown,Unknown,Bones,Original,5 min.,PG-13 - Teens 13 or older,5000,6877,4311,3,39,3711,17,55
Kimi no Iru Machi OVA,7.08,"Slice of Life, Drama, Romance, Shounen",OVA,2,"Jan 17, 2014 to Mar 17, 2014",Unknown,Unknown,Unknown,Gonzo,Manga,28 min. per ep.,R+ - Mild Nudity,3310,4006,16338,16,475,10925,293,203
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Slice of Life, Demons, Supernatural, Drama, Shoujo",OVA,1,1-Feb-14,Unknown,"Aniplex, Nihon Ad Systems",Unknown,Brain's Base,Manga,23 min.,PG-13 - Teens 13 or older,180,1953,62641,105,1341,40232,545,288
Amnesia OVA,6.38,"Harem, Fantasy, Shoujo",OVA,1,25-Sep-13,Unknown,Unknown,Unknown,Brain's Base,Visual novel,25 min.,PG-13 - Teens 13 or older,6478,3097,27791,30,380,21883,223,228
Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,5.67,"Mecha, Military",Special,1,6-Sep-01,Unknown,Bandai,Unknown,Sunrise,Unknown,10 min.,PG-13 - Teens 13 or older,9261,9279,1699,0,56,806,35,77
Shashinkan,7.32,"Drama, Historical, Slice of Life",Movie,1,9-Nov-13,Unknown,Unknown,Unknown,Studio Colorido,Original,16 min.,G - All Ages,2264,6237,5517,8,127,2883,64,49
Hinata no Aoshigure,6.97,"Adventure, Fantasy, Romance",Movie,1,9-Nov-13,Unknown,Unknown,Unknown,Studio Colorido,Original,18 min.,PG - Children,3753,3788,18502,38,546,9131,228,101
Hamatora The Animation,7.3,"Mystery, Comedy, Super Power, Drama",TV,12,"Jan 8, 2014 to Mar 26, 2014",Winter 2014,"TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DAX Production, DIVE II Entertainment, Shueisha",Sentai Filmworks,NAZ,Original,24 min. per ep.,R - 17+ (violence & profanity),2331,585,249144,997,14254,143323,9422,11837
Baka Misérables,5.6,"Music, Parody",ONA,3,"May 21, 2013 to Jun 28, 2013",Unknown,Fuji TV,Unknown,DLE,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,9412,12840,372,0,15,193,7,39
"""0""",4.71,Music,Music,1,23-Oct-13,Unknown,Sony Music Entertainment,Unknown,Minakata Laboratory,Music,2 min.,G - All Ages,10825,7736,3108,1,36,2552,25,37
Sabage-bu!,7.38,"Action, Military, Comedy, Shoujo",TV,12,"Jul 6, 2014 to Sep 21, 2014",Summer 2014,"Bandai Visual, Lantis, Kodansha, Banpresto, NichiNare",Sentai Filmworks,Pierrot Plus,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1970,1156,127985,513,8053,59272,4476,5810
Mai Zhu,5.41,"Comedy, Historical",Movie,1,30-Aug-12,Unknown,Unknown,Unknown,Unknown,Unknown,11 min.,R - 17+ (violence & profanity),9910,12317,466,0,20,240,8,29
Mint,6.51,"Drama, Fantasy",Movie,1,Unknown,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Unknown,,8138,2651,1,0,0,0,0
Kyousou Giga (TV) Recaps,6.57,"Action, Fantasy, Supernatural",Special,2,"Oct 3, 2013 to Dec 26, 2013",Unknown,Unknown,Discotek Media,Toei Animation,Original,26 min. per ep.,PG-13 - Teens 13 or older,5544,4912,9977,2,460,6839,443,348
"Lies, Lies.",5.19,Music,Music,1,27-Oct-10,Unknown,Unknown,Unknown,Unknown,Unknown,4 min.,G - All Ages,10335,13192,330,0,10,251,2,16
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,6.66,"Action, Adventure, Comedy, Fantasy, Kids",Special,1,3-Oct-13,Unknown,TV Tokyo,Unknown,OLM,Unknown,23 min.,PG - Children,5067,5845,6486,2,80,4936,88,105
Love Live! School Idol Project OVA,6.86,"Music, Slice of Life, School",OVA,1,27-Nov-13,Unknown,Lantis,Unknown,Sunrise,Other,15 min.,PG-13 - Teens 13 or older,4198,2513,40941,167,528,33632,240,175
Ganbare! Lulu Lolo,6.51,"Kids, Slice of Life",TV,26,"Jan 17, 2013 to Feb 21, 2013",Winter 2013,NHK,Unknown,Fanworks,Picture book,5 min. per ep.,PG - Children,14054,13652,283,0,12,77,11,67
Taimanin Yukikaze,6.5,"Demons, Hentai, Supernatural",OVA,3,"Nov 29, 2013 to Jan 29, 2016",Unknown,ZIZ Entertainment (ZIZ),Unknown,Magic Bus,Visual novel,30 min. per ep.,Rx - Hentai,,5136,8883,64,1105,4609,473,394
Noragami OVA,7.76,"Action, Adventure, Comedy, Supernatural, Shounen",OVA,2,"Feb 17, 2014 to Jul 17, 2014",Unknown,"Avex Entertainment, Ai Addiction",Unknown,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,899,575,252688,423,12388,206699,3758,1098
Mahouka Koukou no Rettousei,7.53,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,26,"Apr 6, 2014 to Sep 28, 2014",Spring 2014,"Aniplex, Square Enix, Movic, ASCII Media Works",Aniplex of America,Madhouse,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,1499,112,760749,10040,47508,520791,23998,44921
Black Bullet,7.17,"Action, Sci-Fi, Mystery, Seinen",TV,13,"Apr 8, 2014 to Jul 1, 2014",Spring 2014,"Geneon Universal Entertainment, AT-X, Showgate, NBCUniversal Entertainment Japan",Sentai Filmworks,"Kinema Citrus, Orange",Light novel,24 min. per ep.,R - 17+ (violence & profanity),2877,127,709300,3680,29827,503294,15816,24143
Norman the Snowman: Kita no Kuni no Aurora,6.51,"Kids, Fantasy",Movie,1,23-Nov-13,Unknown,Unknown,Unknown,Tecarat,Original,25 min.,G - All Ages,11239,14241,244,0,12,73,5,38
Koakuma Kanojo The Animation,7.24,"Hentai, Supernatural, School",OVA,2,"Dec 20, 2013 to Feb 26, 2016",Unknown,Pink Pineapple,Unknown,Office Takeout,Manga,31 min. per ep.,Rx - Hentai,,3885,17489,158,2136,10315,886,556
Maid of the Dead,4.08,"Comedy, Horror",ONA,1,7-Oct-13,Unknown,Unknown,Unknown,Unknown,Original,3 min.,R - 17+ (violence & profanity),11001,7592,3303,0,24,2966,7,35
Sekaiichi Hatsukoi: Valentine-hen,7.87,"Romance, Comedy, Shounen Ai",Movie,1,15-Mar-14,Unknown,Kadokawa Shoten,Unknown,Studio Deen,Manga,15 min.,PG-13 - Teens 13 or older,716,2901,31453,65,583,23198,205,302
Joshikousei Nobunaga-chan!!,6.51,"Comedy, Ecchi, School",ONA,10,"Aug 12, 2010 to Feb 10, 2012",Unknown,"TMS Entertainment, TMS Music",Unknown,"WAO World, MooGoo",Manga,4 min. per ep.,PG-13 - Teens 13 or older,14710,10505,982,1,79,142,50,56
Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,6.84,"Slice of Life, Comedy",Special,2,"Feb 5, 2014 to Mar 5, 2014",Unknown,Starchild Records,Unknown,Satelight,Original,13 min. per ep.,PG-13 - Teens 13 or older,4281,5155,8754,13,257,5336,146,118
Seitokai Yakuindomo*,7.74,"Slice of Life, Comedy, School, Shounen",TV,13,"Jan 4, 2014 to Mar 30, 2014",Winter 2014,Starchild Records,Unknown,GoHands,4-koma manga,23 min. per ep.,R - 17+ (violence & profanity),940,735,201472,521,10695,134282,6221,4572
Oni Chichi 2: Revenge,6.84,Hentai,OVA,2,"Nov 29, 2013 to Mar 28, 2014",Unknown,Unknown,Unknown,PoRO,Visual novel,28 min. per ep.,Rx - Hentai,,4137,15252,35,910,10714,423,361
Hitsugi no Chaika,7.29,"Action, Adventure, Comedy, Romance, Fantasy",TV,12,"Apr 10, 2014 to Jun 26, 2014",Spring 2014,"Kadokawa Shoten, flying DOG, Fujimi Shobo",Sentai Filmworks,Bones,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2378,447,309823,775,16394,191130,9551,11371
Bacterial Contamination,5.97,"Dementia, Horror, Music",Music,1,3-Feb-12,Unknown,Unknown,Unknown,Unknown,Music,4 min.,PG-13 - Teens 13 or older,8320,7296,3696,9,37,3285,11,35
Nebula feat. Hatsune Miku,5.54,Music,Music,1,3-Feb-09,Unknown,Unknown,Unknown,Unknown,Unknown,4 min.,PG-13 - Teens 13 or older,9590,9169,1760,1,22,1509,11,21
Nulu-chan to Boku,5.48,"Comedy, Fantasy",ONA,1,"Dec, 2012",Unknown,Space Neko Company,Unknown,Unknown,Original,3 min.,G - All Ages,9725,13197,332,0,9,231,5,25
Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,6.69,"Comedy, Fantasy, Shounen",Special,1,5-Mar-11,Unknown,Unknown,Unknown,Toei Animation,Manga,12 min.,PG-13 - Teens 13 or older,4955,5244,8457,40,180,5912,127,164
Hana no Zundamaru,6.51,"Martial Arts, Comedy, Parody",ONA,8,"Oct 22, 2013 to Dec 9, 2013",Unknown,CoMix Wave Films,Unknown,Unknown,Manga,5 min. per ep.,G - All Ages,14261,13358,314,0,19,146,7,39
