Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Taiho Shichau zo (TV),7.54,"Action, Comedy, Police, Seinen",TV,47,"Oct 5, 1996 to Sep 27, 1997",Fall 1996,"Bandai Visual, TBS, Kodansha, Nichion",AnimEigo,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1464,3441,22588,150,1649,9011,1524,1135
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,7.27,Drama,Special,4,"Dec 22, 2003 to Oct 13, 2004",Unknown,Unknown,Unknown,Tezuka Productions,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2487,6656,4697,5,118,2691,125,119
Kyoushoku Soukou Guyver (2005),7.26,"Adventure, Sci-Fi, Shounen",TV,26,"Aug 6, 2005 to Feb 18, 2006",Summer 2005,Imagine,"ADV Films, Funimation",OLM,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2535,3777,18412,158,869,10281,794,867
Watashi no Ashinaga Ojisan,7.75,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",TV,40,"Jan 4, 1990 to Dec 23, 1990",Winter 1990,Unknown,Unknown,Nippon Animation,Novel,23 min. per ep.,G - All Ages,918,4587,11805,116,498,6213,427,422
Ojamajo Doremi Na-i-sho,7.7,"Comedy, Fantasy, Magic, Shoujo",OVA,13,"Jun 26, 2004 to Dec 11, 2004",Unknown,Unknown,Unknown,Toei Animation,Unknown,25 min. per ep.,G - All Ages,1033,5396,7844,75,253,5398,187,202
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6.69,"Sci-Fi, Space, Drama",TV,13,"Aug 6, 2004 to Nov 1, 2004",Summer 2004,Animax,Unknown,Azeta Pictures,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,4972,7349,3616,7,143,1474,149,119
Sengoku Kitan Youtouden Movie,5.96,"Action, Martial Arts, Samurai",Movie,1,27-May-89,Unknown,Unknown,Central Park Media,J.C.Staff,Unknown,1 hr. 26 min.,R - 17+ (violence & profanity),8371,6815,4410,3,93,2855,68,70
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,7.78,"Adventure, Drama, Fantasy",Movie,1,19-Feb-05,Unknown,Unknown,Unknown,A.C.G.T.,Light novel,29 min.,R - 17+ (violence & profanity),860,2349,46416,48,899,28691,513,222
Blue Gender: The Warrior,6.24,"Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,20-Nov-02,Unknown,AIC,Funimation,Unknown,Original,1 hr. 39 min.,R - 17+ (violence & profanity),7143,4929,9836,4,201,6401,137,141
Seikai no Monshou Special,7.22,"Action, Military, Romance, Sci-Fi, Space",Special,1,7-Apr-00,Unknown,"Bandai Visual, WOWOW",Unknown,Sunrise,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older,2694,7591,3296,3,63,1944,51,77
Yuusha-Ou GaoGaiGar Final,8.08,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,"Jan 21, 2000 to Mar 21, 2003",Unknown,Unknown,Unknown,Sunrise,Unknown,32 min. per ep.,PG-13 - Teens 13 or older,436,5401,7856,165,210,4355,162,197
Yuuwaku Countdown,5.83,"Action, Comedy, Fantasy, Hentai, Horror, Mecha, Romance, Supernatural",OVA,6,"Jun 15, 1995 to Nov 22, 1995",Unknown,Pink Pineapple,"Nozomi Entertainment, Media Blasters",AIC,Manga,15 min. per ep.,Rx - Hentai,,8413,2377,5,197,882,113,153
Kyuuketsuhime Miyu,6.99,"Action, Horror, Demons, Drama, Vampire, Shoujo",OVA,4,"Jul 21, 1988 to Apr 21, 1989",Unknown,"Pony Canyon, Soeishinsha",AnimEigo,AIC,Manga,28 min. per ep.,PG-13 - Teens 13 or older,3680,3934,17133,79,550,9339,428,382
Kurohime: Shikkoku no Yakata,5.9,Hentai,OVA,2,"May 31, 2002 to Mar 28, 2003",Unknown,Discovery,Critical Mass Video,Unknown,Unknown,30 min. per ep.,Rx - Hentai,,7410,3550,10,192,2120,113,128
Blood Royale,5.63,Hentai,OVA,2,"Aug 30, 2002 to Nov 29, 2002",Unknown,Discovery,Critical Mass Video,AT-2,Visual novel,30 min. per ep.,Rx - Hentai,,6771,4484,18,235,2446,151,212
Yakin Byoutou,6.31,Hentai,OVA,10,"Dec 8, 2000 to Jan 30, 2004",Unknown,Discovery,"Central Park Media, Critical Mass Video",AT-2,Visual novel,30 min. per ep.,Rx - Hentai,,4870,10099,94,792,5569,528,685
Yakin Byoutou Ni,6.13,Hentai,OVA,5,"Jul 30, 2004 to Jan 27, 2006",Unknown,"D3, Discovery",Unknown,AT-2,Visual novel,30 min. per ep.,Rx - Hentai,,6835,4367,6,299,2459,183,182
Yakin Byoutou San,6.23,Hentai,OVA,3,"Jul 29, 2005 to Jan 27, 2006",Unknown,"D3, Discovery",Unknown,Arms,Visual novel,30 min. per ep.,Rx - Hentai,,6831,4373,8,306,2365,184,176
Parade Parade,5.98,"Hentai, Music, Yuri",OVA,2,"Apr 26, 1996 to Jul 26, 1996",Unknown,Unknown,Media Blasters,Unknown,Manga,30 min. per ep.,Rx - Hentai,,8093,2682,12,151,1532,84,130
Future GPX Cyber Formula,7.35,"Adventure, Sci-Fi, Shounen, Sports",TV,37,"Mar 15, 1991 to Dec 20, 1991",Spring 1991,Unknown,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG - Children,2123,6285,5368,44,328,1998,236,217
Future GPX Cyber Formula 11,7.29,"Drama, Sci-Fi, Shounen, Sports",OVA,6,"Nov 1, 1992 to Jun 1, 1993",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,2371,8888,1951,7,54,1212,37,68
Future GPX Cyber Formula Zero,7.4,"Drama, Sci-Fi, Shounen, Sports",OVA,8,"Apr 1, 1994 to Feb 1, 1995",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,1894,8852,1988,8,50,1225,37,66
Future GPX Cyber Formula Saga,7.39,"Drama, Sci-Fi, Shounen, Sports",OVA,8,"Aug 1, 1996 to Jul 25, 1997",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,R+ - Mild Nudity,1929,8938,1919,9,57,1091,46,60
Future GPX Cyber Formula Sin,7.5,"Drama, Sci-Fi, Shounen, Sports",OVA,5,"Dec 21, 1998 to Mar 17, 2000",Unknown,Unknown,Unknown,Sunrise,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,1572,8946,1923,11,55,1117,39,64
Future GPX Cyber Formula: Early Days Renewal,6.43,"Drama, Sci-Fi, Shounen, Sports",OVA,2,"Apr 1, 1996 to Jun 1, 1996",Unknown,Unknown,Unknown,Sunrise,Unknown,58 min. per ep.,PG-13 - Teens 13 or older,6270,11801,569,0,24,203,15,45
Macross 7,7.13,"Action, Military, Sci-Fi, Adventure, Music, Space, Comedy, Drama, Romance, Mecha, Shounen",TV,49,"Oct 16, 1994 to Sep 24, 1995",Fall 1994,"Mainichi Broadcasting System, Studio Nue",Unknown,Production Reed,Original,25 min. per ep.,PG-13 - Teens 13 or older,3098,3310,24549,200,1185,11834,1246,1192
Macross Dynamite 7,6.84,"Sci-Fi, Adventure, Space, Comedy, Mecha, Shounen",OVA,4,"Dec 18, 1997 to Aug 25, 1998",Unknown,"Mainichi Broadcasting System, Studio Nue",Unknown,Production Reed,Original,30 min. per ep.,PG-13 - Teens 13 or older,4272,4712,11086,15,255,6256,221,156
Macross 7 Encore,6.97,"Action, Sci-Fi, Music, Space, Comedy, Drama, Mecha, Shounen",OVA,3,"Dec 18, 1995 to Feb 25, 1996",Unknown,"Bandai Visual, Mainichi Broadcasting System, Studio Nue",Unknown,Production Reed,Original,24 min. per ep.,PG-13 - Teens 13 or older,3752,5414,7771,7,154,5213,140,111
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,6.93,"Action, Sci-Fi, Adventure, Music, Comedy, Drama, Mecha, Shounen",Movie,1,30-Sep-95,Unknown,"Mainichi Broadcasting System, Studio Nue",Unknown,Production Reed,Original,33 min.,PG-13 - Teens 13 or older,3907,5424,7746,9,130,5167,135,86
Bible Black: New Testament,6.74,Hentai,OVA,6,"Apr 25, 2004 to Dec 25, 2007",Unknown,"Milky Animation Label, Active",Media Blasters,Studio Jam,Visual novel,30 min. per ep.,Rx - Hentai,,3447,22454,111,1022,16824,665,603
Princess Memory,5.66,"Fantasy, Hentai, Romance",OVA,2,"Jun 25, 2001 to Sep 25, 2001",Unknown,"Studio Kyuuma, NuTech Digital, Triple X",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,,9808,1360,3,103,612,63,82
Tsumamigui,6.48,Hentai,OVA,2,"Jun 27, 2003 to Nov 28, 2003",Unknown,"Pink Pineapple, Himajin Planning",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,,6299,5355,12,412,2800,262,196
Flutter of Birds: Tori-tachi no Habataki,5.72,Hentai,OVA,2,"May 24, 2002 to Aug 23, 2002",Unknown,"Silky’s, Himajin Planning",Unknown,Arms,Visual novel,30 min. per ep.,Rx - Hentai,,8989,1893,4,122,1042,75,84
Tokio Kidou Police,5.91,"Comedy, Hentai, Parody, Romance",OVA,2,"Jul 21, 1997 to Aug 21, 1997",Unknown,"Green Bunny, BEAM Entertainment",Unknown,Unknown,Novel,27 min. per ep.,Rx - Hentai,,8794,2017,4,103,1163,68,96
Gibo,5.96,"Drama, Hentai, Romance",OVA,2,"Oct 5, 2001 to Jan 11, 2002",Unknown,Digital Works,Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,,6760,4502,26,330,2764,183,196
Stainless Night,6.07,"Hentai, Yuri",OVA,2,"Dec 22, 1995 to Mar 22, 1996",Unknown,Pink Pineapple,Media Blasters,Unknown,Unknown,30 min. per ep.,Rx - Hentai,,7006,4123,17,219,2315,107,156
Kao no nai Tsuki,6.66,Hentai,OVA,5,"Dec 8, 2001 to Jul 23, 2004",Unknown,Pink Pineapple,Media Blasters,Imagin,Visual novel,30 min. per ep.,Rx - Hentai,,5025,9429,62,502,5725,363,349
IGPX: Immortal Grand Prix,6.58,"Sports, Mecha, Sci-Fi, Shounen",TV,5,"Sep 15, 2003 to Sep 19, 2003",Summer 2003,Bee Train,"Bandai Entertainment, Discotek Media",Production I.G,Original,5 min. per ep.,PG-13 - Teens 13 or older,5479,7345,3624,7,100,2090,94,122
IGPX: Immortal Grand Prix (2005) 2nd Season,7.29,"Mecha, Sci-Fi, Shounen, Sports",TV,13,"May 20, 2006 to Aug 26, 2006",Spring 2006,"Bee Train, Bandai Visual","Bandai Entertainment, Discotek Media",Production I.G,Original,24 min. per ep.,PG-13 - Teens 13 or older,2400,4995,9529,25,237,6771,218,183
VS Knight Lamune & 40 Fresh,5.69,"Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space",OVA,6,"May 21, 1997 to Nov 21, 1997",Unknown,Starchild Records,Discotek Media,Production Reed,Original,28 min. per ep.,R+ - Mild Nudity,9196,8656,2146,6,95,1139,65,115
Lupin III,7.67,"Action, Adventure, Mystery, Comedy, Seinen",TV,23,"Oct 24, 1971 to Mar 26, 1972",Fall 1971,"TMS Entertainment, Group TAC",Discotek Media,Tokyo Movie Shinsha,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1112,1750,74976,812,5119,28319,4247,2741
Lupin III: Alcatraz Connection,7.09,"Action, Adventure, Comedy, Seinen",Special,1,3-Aug-01,Unknown,"VAP, Nippon Television Network",Discotek Media,TMS Entertainment,Manga,1 hr. 31 min.,PG-13 - Teens 13 or older,3264,6109,5763,4,111,3417,93,77
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,7.07,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,22-Jul-05,Unknown,Unknown,Unknown,TMS Entertainment,Unknown,1 hr. 32 min.,PG-13 - Teens 13 or older,3342,6375,5182,1,88,3071,83,73
Lupin III: Bye Bye Liberty - Kiki Ippatsu!,6.84,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,1-Apr-89,Unknown,"VAP, Tokyo Movie Shinsha",Discotek Media,Unknown,Unknown,1 hr. 37 min.,R+ - Mild Nudity,4268,6030,5962,4,102,3833,91,70
Lupin III: Dead or Alive,7.17,"Action, Adventure, Mystery, Comedy, Seinen",Movie,1,20-Apr-96,Unknown,"VAP, Tohokushinsha Film Corporation",Funimation,Tokyo Movie Shinsha,Manga,1 hr. 37 min.,PG-13 - Teens 13 or older,2902,5224,8571,4,163,5256,124,106
Lupin III: Moeyo Zantetsuken!,7.07,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,29-Jul-94,Unknown,Tokyo Movie Shinsha,"Funimation, Discotek Media",Unknown,Manga,1 hr. 30 min.,R+ - Mild Nudity,3339,5935,6231,2,107,3938,87,79
"Lupin III: Episode 0 ""First Contact""",7.62,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,26-Jul-02,Unknown,VAP,Discotek Media,TMS Entertainment,Unknown,1 hr. 32 min.,R - 17+ (violence & profanity),1221,5311,8199,13,148,5308,103,97
Lupin III: Kutabare! Nostradamus,7.38,"Action, Adventure, Mystery, Comedy, Seinen",Movie,1,22-Apr-95,Unknown,"VAP, Tokyo Movie Shinsha, Tohokushinsha Film Corporation",Funimation,Unknown,Manga,1 hr. 40 min.,R+ - Mild Nudity,1981,5261,8381,3,146,5626,111,104
Lupin III: Russia yori Ai wo Komete,6.75,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,24-Jul-92,Unknown,Tokyo Movie Shinsha,Discotek Media,Unknown,Unknown,1 hr. 30 min.,R+ - Mild Nudity,4697,6471,5016,2,102,3009,85,74
Lupin III: Hemingway Paper no Nazo,6.93,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,20-Jul-90,Unknown,VAP,Discotek Media,Tokyo Movie Shinsha,Unknown,1 hr. 32 min.,PG-13 - Teens 13 or older,3913,6439,5090,6,86,3125,74,69
Lupin III: $1 Money Wars,7.17,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,28-Jul-00,Unknown,"VAP, Tohokushinsha Film Corporation",Funimation,TMS Entertainment,Unknown,1 hr. 30 min.,PG-13 - Teens 13 or older,2915,6322,5339,2,106,3116,88,85
Lupin III: Napoleon no Jisho wo Ubae,6.73,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,9-Aug-91,Unknown,"VAP, Tokyo Movie Shinsha",Discotek Media,Unknown,Unknown,1 hr. 30 min.,PG-13 - Teens 13 or older,4774,6639,4703,1,85,2730,84,71
Lupin III: Otakara Henkyaku Daisakusen!!,7.37,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,1-Aug-03,Unknown,Unknown,Discotek Media,TMS Entertainment,Manga,1 hr. 30 min.,PG-13 - Teens 13 or older,2042,6387,5177,2,99,2990,85,80
Lupin III: Part II,7.8,"Action, Adventure, Mystery, Comedy, Seinen",TV,155,"Oct 3, 1977 to Oct 6, 1980",Fall 1977,"VAP, Animax, Studio Jack","Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,25 min. per ep.,R+ - Mild Nudity,824,3305,24478,231,2815,9334,2252,972
Lupin III: Part III,7.33,"Action, Adventure, Comedy, Seinen",TV,50,"Mar 3, 1984 to Dec 25, 1985",Spring 1984,Unknown,Unknown,Tokyo Movie Shinsha,Manga,24 min. per ep.,R+ - Mild Nudity,2229,4161,14914,17,640,6124,550,347
Lupin III: Ikiteita Majutsushi,6.04,"Action, Adventure, Mystery, Comedy, Seinen",OVA,1,3-Apr-02,Unknown,"VAP, Tohokushinsha Film Corporation",Unknown,TMS Entertainment,Manga,50 min.,R+ - Mild Nudity,8062,6746,4508,2,80,2633,81,77
Lupin III: Pilot Film (1978),6.35,"Action, Adventure, Mystery, Comedy, Seinen",OVA,1,16-Dec-78,Unknown,"Tokyo Movie Shinsha, Toho",Unknown,Unknown,Manga,12 min.,PG-13 - Teens 13 or older,6655,7064,4023,0,90,2334,57,70
Lupin III: Nusumareta Lupin,7.09,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,30-Jul-04,Unknown,Unknown,Unknown,TMS Entertainment,Manga,1 hr. 31 min.,PG-13 - Teens 13 or older,3265,6671,4661,1,88,2668,80,74
Lupin III: Cagliostro no Shiro,8.15,"Action, Adventure, Comedy, Mystery, Seinen",Movie,1,15-Dec-79,Unknown,Unknown,"Discotek Media, Manga Entertainment",Tokyo Movie Shinsha,Manga,1 hr. 40 min.,PG-13 - Teens 13 or older,368,1615,82825,956,1065,66472,444,292
Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,6.84,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,30-Jul-99,Unknown,"VAP, Tokyo Movie Shinsha, Tohokushinsha Film Corporation",Funimation,Unknown,Manga,1 hr. 32 min.,PG-13 - Teens 13 or older,4274,6213,5547,1,114,3264,87,86
Lupin III: Fuuma Ichizoku no Inbou,7.28,"Action, Adventure, Mystery, Comedy, Seinen",Movie,1,26-Dec-87,Unknown,Toho,"AnimEigo, Discotek Media",Tokyo Movie Shinsha,Manga,1 hr. 13 min.,PG-13 - Teens 13 or older,2451,5383,7906,4,131,5146,100,90
Lupin III: Babylon no Ougon Densetsu,6.57,"Action, Adventure, Mystery, Comedy, Seinen",Movie,1,13-Jul-85,Unknown,Unknown,"AnimEigo, Discotek Media",Tokyo Movie Shinsha,Manga,1 hr. 40 min.,R+ - Mild Nudity,5546,5901,6301,4,121,3994,92,94
Lupin III: Harimao no Zaihou wo Oe!!,7.01,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,4-Aug-95,Unknown,"VAP, TMS Entertainment","Funimation, Discotek Media",Unknown,Manga,1 hr. 30 min.,PG-13 - Teens 13 or older,3626,6346,5284,3,80,3329,84,78
Lupin III: Lupin vs. Fukusei-ningen,6.99,"Action, Adventure, Mystery, Comedy, Seinen",Movie,1,16-Dec-78,Unknown,Unknown,"Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,1 hr. 42 min.,R+ - Mild Nudity,3672,4950,9806,23,165,6761,107,94
Lupin III: Twilight Gemini no Himitsu,7,"Action, Adventure, Comedy, Shounen",Special,1,2-Aug-96,Unknown,"VAP, Tokyo Movie Shinsha, Tohokushinsha Film Corporation",Funimation,Unknown,Unknown,1 hr. 30 min.,R+ - Mild Nudity,3637,6137,5732,1,103,3714,78,77
Lupin III: Honoo no Kioku - Tokyo Crisis,7.23,"Action, Adventure, Comedy, Mystery, Shounen",Special,1,24-Jul-98,Unknown,"VAP, TMS Entertainment, Tohokushinsha Film Corporation",Funimation,Tokyo Movie Shinsha,Unknown,1 hr. 32 min.,PG-13 - Teens 13 or older,2649,6100,5821,11,95,3547,89,79
Lupin III: Lupin Ansatsu Shirei,6.95,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,23-Jul-93,Unknown,Tokyo Movie Shinsha,"Funimation, Discotek Media",Unknown,Unknown,1 hr. 30 min.,PG-13 - Teens 13 or older,3812,6151,5717,2,110,3471,87,75
Lupin III: Walther P38,7.34,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,1-Aug-97,Unknown,"VAP, Tokyo Movie Shinsha","Funimation, Discotek Media",Unknown,Unknown,1 hr. 33 min.,PG-13 - Teens 13 or older,2161,5944,6198,16,115,3765,97,89
Ninja Mono,5.75,"Adventure, Comedy, Shounen, Supernatural",OVA,2,"Mar 27, 1996 to Jun 12, 1996",Unknown,"AIC, Youmex",Media Blasters,Unknown,Original,30 min. per ep.,PG-13 - Teens 13 or older,8984,8287,2486,5,82,1472,44,67
Ginga Tetsudou no Yoru,7.29,"Drama, Fantasy, Historical, Kids, Mystery",Movie,1,13-Jul-85,Unknown,Unknown,"Central Park Media, Discotek Media",Group TAC,Novel,1 hr. 45 min.,G - All Ages,2392,3954,16822,232,328,7745,178,175
Alexander Senki,5.71,"Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural",TV,13,"Sep 15, 1999 to Sep 18, 1999",Summer 1999,"Media Factory, TBS, Kadokawa Haruki Corporation, Samsung, Namisokan",Tokyopop,Madhouse,Novel,23 min. per ep.,R+ - Mild Nudity,9116,5843,6479,27,224,3270,201,681
Sol Bianca,6.34,"Action, Sci-Fi, Adventure, Space",OVA,2,"Mar 21, 1990 to Jul 21, 1991",Unknown,"Half H.P Studio, NEC Avenue",ADV Films,AIC,Original,54 min. per ep.,R+ - Mild Nudity,6666,6562,4847,5,154,2457,89,111
Sol Bianca: Taiyou no Fune,6.37,"Adventure, Mecha, Sci-Fi, Space",OVA,6,"Sep 24, 1999 to Oct 6, 2000",Unknown,Pioneer LDC,Geneon Entertainment USA,AIC,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,6533,6965,4145,6,134,2485,136,169
Mach GoGoGo,6.67,"Adventure, Cars, Sports, Shounen",TV,52,"Apr 2, 1967 to Mar 31, 1968",Spring 1967,Unknown,Funimation,Tatsunoko Production,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5049,4643,11572,100,472,6665,761,1394
Hyakujuu-Ou GoLion,6.83,"Adventure, Mecha, Sci-Fi, Shounen",TV,52,"Mar 4, 1981 to Feb 24, 1982",Spring 1981,Unknown,Media Blasters,Toei Animation,Original,23 min. per ep.,PG-13 - Teens 13 or older,4321,4899,9976,56,503,5740,618,875
Brigadoon: Marin to Melan,7.26,"Adventure, Comedy, Drama, Mecha, Sci-Fi",TV,26,"Jul 21, 2000 to Feb 9, 2001",Summer 2000,Bandai Visual,Tokyopop,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2519,4841,10337,121,461,2933,489,464
Shuranosuke Zanmaken: Shikamamon no Otoko,4.74,"Action, Supernatural, Historical, Thriller",Movie,1,28-Dec-90,Unknown,Unknown,Manga Entertainment,Production Reed,Novel,49 min.,R+ - Mild Nudity,10820,7343,3642,2,89,2354,43,86
The Samurai,5.96,"Comedy, Romance, School, Shounen",OVA,1,1-Nov-87,Unknown,"TBS, CBS",ADV Films,Unknown,Unknown,45 min.,PG-13 - Teens 13 or older,8375,9186,1750,2,46,1082,21,35
Maison Ikkoku,8.18,"Slice of Life, Comedy, Drama, Romance, Seinen",TV,96,"Mar 26, 1986 to Mar 2, 1988",Spring 1986,Kitty Films,VIZ Media,Studio Deen,Manga,25 min. per ep.,R+ - Mild Nudity,331,2240,50851,1304,3816,14753,3100,2160
Kemonozume,7.39,"Action, Demons, Horror, Romance, Supernatural",TV,13,"Aug 6, 2006 to Nov 5, 2006",Summer 2006,"WOWOW, Imagine",Unknown,Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,1959,2007,59889,427,2808,18948,2199,2212
Makai Tenshou,5.23,"Action, Supernatural, Samurai, Historical",OVA,2,"Feb 27, 1998 to Mar 27, 1998",Unknown,Unknown,ADV Films,Phoenix Entertainment,Novel,40 min. per ep.,R+ - Mild Nudity,10281,6042,5951,8,133,3898,97,141
L/R: Licensed by Royal,6.49,"Action, Adventure, Police, Mystery",TV,12,"Jan 8, 2003 to Mar 26, 2003",Winter 2003,"Victor Entertainment, Fuji TV, Pioneer LDC",Geneon Entertainment USA,TNK,Original,23 min. per ep.,PG-13 - Teens 13 or older,5959,7238,3770,8,164,1619,183,288
Key the Metal Idol,6.92,"Action, Sci-Fi, Music, Psychological, Drama, Mecha",OVA,15,"Dec 16, 1994 to Jun 18, 1997",Unknown,"VIZ Media, Pony Canyon, Fuji TV, Fuji Creative",Discotek Media,Studio Pierrot,Original,34 min. per ep.,PG-13 - Teens 13 or older,3932,4071,15722,90,853,4960,694,671
Uchuu no Kishi Tekkaman,6.2,"Action, Adventure, Mecha, Sci-Fi, Shounen, Space",TV,26,"Jul 2, 1975 to Dec 24, 1975",Summer 1975,Unknown,Unknown,Tatsunoko Production,Original,25 min. per ep.,G - All Ages,7336,8403,2386,3,121,773,106,177
Uchuu no Kishi Tekkaman Blade,7.46,"Action, Adventure, Space, Mecha, Romance, Military, Drama, Sci-Fi, Shounen",TV,49,"Feb 18, 1992 to Feb 2, 1993",Winter 1992,"Sotsu, Studio Jack",Media Blasters,Tatsunoko Production,Original,25 min. per ep.,R - 17+ (violence & profanity),1714,4367,13341,169,698,5829,679,571
Uchuu no Kishi Tekkaman Blade II,6.3,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",OVA,6,"Jul 21, 1994 to Apr 21, 1995",Unknown,Starchild Records,"Discotek Media, Urban Vision",Tatsunoko Production,Unknown,30 min. per ep.,R+ - Mild Nudity,6874,7423,3531,5,103,2087,86,94
Memories,7.73,"Drama, Horror, Psychological, Sci-Fi",Movie,3,23-Dec-95,Unknown,"Bandai Visual, Shochiku, Victor Entertainment, Kodansha","Sony Pictures Entertainment, Discotek Media","Madhouse, Studio 4°C",Manga,37 min. per ep.,PG-13 - Teens 13 or older,968,1687,78477,425,2681,38143,1402,538
Hakaima Sadamitsu,6.88,"Action, Mecha, School, Sci-Fi, Seinen",TV,10,"Jan 17, 2001 to Mar 21, 2001",Winter 2001,Aniplex,"Media Blasters, NYAV Post",Studio Deen,Manga,22 min. per ep.,R - 17+ (violence & profanity),4106,6498,4949,21,174,2750,143,197
Hakugei Densetsu,6.64,"Sci-Fi, Adventure, Space",TV,26,"Apr 9, 1997 to May 12, 1999",Spring 1997,"Tezuka Productions, Sony Music Entertainment, Image Kei",ADV Films,"Studio Junio, Annapuru",Original,23 min. per ep.,PG-13 - Teens 13 or older,5175,7672,3172,18,178,891,163,170
Baoh Raihousha,6.12,"Action, Sci-Fi, Super Power, Martial Arts, Shounen",OVA,1,16-Sep-89,Unknown,"Toho, Shueisha",AnimEigo,Studio Pierrot,Manga,48 min.,R - 17+ (violence & profanity),7706,4436,12868,33,272,8159,117,100
Monster Farm: Enbanseki no Himitsu,6.82,"Action, Adventure, Comedy, Fantasy",TV,48,"Apr 17, 1999 to Mar 25, 2000",Spring 1999,Unknown,"ADV Films, Discotek Media",TMS Entertainment,Game,24 min. per ep.,PG-13 - Teens 13 or older,4355,2691,35985,85,1126,24915,1804,3042
City Hunter,7.93,"Action, Comedy, Mystery, Shounen",TV,51,"Apr 6, 1987 to Mar 28, 1988",Spring 1987,Aniplex,"ADV Films, Discotek Media",Sunrise,Manga,25 min. per ep.,PG-13 - Teens 13 or older,632,2196,52982,732,4287,19638,2915,1947
City Hunter 2,8.06,"Action, Comedy, Mystery, Shounen",TV,63,"Apr 2, 1988 to Jul 14, 1989",Spring 1988,Unknown,"ADV Films, Discotek Media",Sunrise,Manga,25 min. per ep.,PG-13 - Teens 13 or older,467,3755,18773,116,937,10909,551,353
City Hunter 3,7.82,"Action, Comedy, Mystery, Shounen",TV,13,"Oct 15, 1989 to Jan 21, 1990",Fall 1989,Unknown,"ADV Films, Discotek Media",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,784,4188,14791,34,417,9054,269,222
City Hunter '91,7.78,"Action, Comedy, Mystery, Shounen",TV,13,"Apr 28, 1991 to Oct 10, 1991",Spring 1991,Unknown,Discotek Media,Sunrise,Manga,23 min. per ep.,PG-13 - Teens 13 or older,852,4195,14654,39,451,8513,281,259
City Hunter: Ai to Shukumei no Magnum,7.43,"Action, Comedy, Mystery, Shounen",Movie,1,17-Jun-89,Unknown,Unknown,Discotek Media,"Sunrise, Production Reed",Manga,1 hr. 27 min.,PG-13 - Teens 13 or older,1808,5961,6137,4,142,4081,102,76
City Hunter: Bay City Wars,7.37,"Action, Comedy, Mystery, Shounen",Movie,1,25-Aug-90,Unknown,Unknown,Discotek Media,Sunrise,Unknown,45 min.,PG-13 - Teens 13 or older,2027,6150,5687,3,127,3713,91,72
